"","species","weight"
"1052","dime",42
"1053","disp",151
"1054","dime",45
"1055","disp",166
"1056","dime",49
"1057","dime",42
"1058","nemi",123
"1059","nemi",226
"1060","disp",159
"1061","pmle",26
"1062","dime",48
"1063","dime",43
"1064","disp",117
"1065","dime",47
"1066","pgfv",9
"1067","disp",110
"1068","onar",19
"1069","disp",116
"1070","dime",37
"1071","dime",47
"1072","dime",41
"1073","dime",36
"1074","dime",44
"1075","dime",41
"1076","dime",32
"1077","dime",44
"1078","disp",130
"1079","dime",41
"1080","dime",40
"1081","dime",19
"1082","dime",46
"1083","dime",48
"1084","dime",40
"1085","dime",34
"1086","dime",44
"1087","dime",33
"1088","dime",38
"1089","dime",46
"1090","dime",49
"1091","disp",129
"1092","dime",39
"1093","dime",35
"1094","dime",42
"1095","dime",43
"1096","dime",34
"1097","dime",45
"1098","dime",58
"1099","pmdi",20
"1100","dime",42
"1101","dime",49
"1102","dime",42
"1103","disp",120
"1104","dime",44
"1105","dime",36
"1106","dime",48
"1107","dime",46
"1108","dime",41
"1109","dime",44
"1110","dime",35
"1111","dime",48
"1112","dime",46
"1113","dime",45
"1114","dime",43
"1115","dime",34
"1116","pgfv",8
"1117","dime",24
"1118","dime",48
"1119","dime",35
"1120","dime",46
"1121","dime",23
"1122","disp",85
"1123","disp",94
"1124","dime",39
"1125","dime",40
"1126","dime",45
"1127","pmdi",21
"1128","dime",36
"1129","dime",35
"1130","dime",39
"1131","pmle",24
"1132","dime",45
"1133","dime",42
"1134","dime",39
"1135","dime",37
"1136","dime",38
"1137","onar",15
"1138","dime",23
"1139","dime",51
"1140","dime",43
"1141","dime",25
"1142","dime",46
"1143","dime",33
"1144","dime",40
"1145","dime",43
"1146","dime",44
"1147","dime",40
"1148","disp",146
"1149","dime",35
"1150","dime",40
"1151","dime",48
"1152","dime",43
"1153","dime",36
"1154","dime",43
"1155","onar",13
"1156","dime",32
"1157","dime",44
"1158","dime",43
"1159","dime",45
"1160","disp",100
"1161","disp",114
"1162","pmer",18
"1163","dime",33
"1164","neal",90
"1165","pmtr",18
"1166","dime",44
"1167","disp",110
"1168","dime",38
