"","species","weight"
"1423","onle",26
"1424","chin",15
"1425","pmle",31
"1426","pmle",29
"1427","pmle",22
"1428","chin",16
"1429","eudo",68
"1430","neal",178
"1431","pgfv",7
"1432","pmtr",28
"1433","chin",17
"1434","neal",158
"1435","chin",17
"1436","pgfv",6
"1437","chin",13
"1438","pmbo",20
"1439","pmle",18
"1440","neal",180
"1441","chin",13
"1442","pmbo",21
"1443","pgfv",6
"1444","pgfv",8
"1445","dime",45
"1446","pgfv",8
"1447","pgfv",8
"1448","pgfv",7
"1449","onar",18
"1450","neal",108
"1451","pmle",31
"1452","pgfv",6
"1453","eudo",55
"1454","pmbo",24
"1455","pmtr",18
"1456","dime",40
"1457","pmle",27
"1458","pmle",20
"1459","chin",14
"1460","pmbo",17
"1461","sihi",80
"1462","eudo",70
"1463","pmbo",18
"1464","neal",140
"1465","pmbo",17
"1466","dime",44
"1467","chin",15
"1468","dime",39
