"","species","weight"
"1363","dime",37
"1364","dime",38
"1365","dime",41
"1366","spsp",104
"1367","spsp",86
"1368","pgfv",7
"1369","pgfv",6
"1370","dime",39
"1371","dime",38
"1372","dime",40
"1373","dime",42
"1374","dime",42
"1375","neal",107
"1376","dime",41
"1377","disp",110
"1378","dime",41
"1379","remn",9
"1380","onar",14
"1381","pgfv",7
"1382","dime",45
"1383","dime",41
"1384","pgfv",8
"1385","pmle",25
"1386","dime",40
"1387","dime",45
"1388","dime",55
"1389","neal",122
"1390","disp",103
"1391","dime",31
"1392","dime",47
"1393","neal",160
"1394","dime",43
"1395","onle",16
"1396","dime",41
"1397","pmtr",22
"1398","pmtr",34
"1399","pmtr",24
"1400","pgfv",7
"1401","dime",51
"1402","dime",55
"1403","dime",53
"1404","disp",114
"1405","dime",52
"1406","dime",40
"1407","onle",20
"1408","pgfv",6
"1409","dime",40
"1410","dime",41
"1411","pgfv",5
"1412","pmtr",25
"1413","pmtr",23
"1414","onle",25
"1415","pgfv",7
"1416","pgfv",7
"1417","onle",21
"1418","dime",45
"1419","dime",40
"1420","dime",47
"1421","disp",151
"1422","pgfl",13
"1423","disp",128
"1424","dior",66
"1425","pgfl",12
"1426","pgfl",15
"1427","dime",30
"1428","dime",38
"1429","dime",52
"1430","dime",30
"1431","dime",35
"1432","pgfl",19
"1433","dime",37
"1434","dime",52
"1435","dime",37
"1436","pmtr",32
"1437","dime",47
"1438","dime",48
"1439","dime",50
"1440","pgfv",8
"1441","disp",34
"1442","spsp",76
"1443","pmbo",18
"1444","dime",27
"1445","dime",45
"1446","onar",28
"1447","dime",48
"1448","dime",52
"1449","dime",49
"1450","pgfl",14
"1451","pmtr",25
"1452","dime",28
"1453","dime",28
"1454","dime",48
"1455","pgfv",8
"1456","onar",11
"1457","pmtr",24
"1458","disp",159
"1459","neal",76
"1460","pgfl",13
"1461","pgfv",9
"1462","pgfl",9
"1463","nemi",250
"1464","spsp",70
"1465","pgfl",6
"1466","dime",43
"1467","dime",35
"1468","dior",39
"1469","pgfv",8
"1470","dime",37
"1471","dime",54
"1472","pgfl",15
"1473","dime",51
"1474","pmtr",17
"1475","pgfv",14
"1476","dime",51
"1477","dime",47
"1478","pmtr",26
"1479","dime",50
"1480","dime",55
"1481","dime",44
"1482","dime",44
"1483","dime",33
"1484","pmtr",31
"1485","dime",32
"1486","dime",49
"1487","dime",30
"1488","dime",32
"1489","pgfl",12
"1490","dime",32
"1491","dime",48
"1492","dime",44
"1493","dime",46
"1494","dime",31
"1495","dime",50
"1496","dime",36
"1497","neal",98
"1498","disp",141
"1499","dime",51
"1500","dime",35
"1501","dime",50
"1502","onle",37
"1503","dime",33
"1504","neal",132
"1505","onle",40
"1506","pmtr",32
"1507","pmtr",14
"1508","dime",50
"1509","dime",34
"1510","dime",47
"1511","dime",40
"1512","dime",29
"1513","dime",49
"1514","dime",40
"1515","dime",47
"1516","dime",40
"1517","dime",42
"1518","dime",43
"1519","dime",44
"1520","dime",31
"1521","pgfv",7
"1522","dime",43
"1523","dime",44
"1524","dime",31
"1525","dime",46
"1526","dime",42
"1527","dime",46
"1528","pgfl",14
"1529","dime",46
"1530","dime",45
"1531","dime",39
"1532","pgfv",7
"1533","dime",44
"1534","dime",48
"1535","pgfv",6
"1536","pgfv",7
"1537","pgfv",9
"1538","dime",41
"1539","pgfv",8
"1540","dime",39
"1541","dime",42
"1542","dime",53
"1543","dime",52
"1544","dime",38
"1545","pgfl",15
"1546","dime",45
"1547","dime",49
"1548","dime",35
"1549","dime",42
"1550","dime",48
"1551","dime",42
"1552","dime",38
"1553","dime",54
"1554","pmtr",32
"1555","dime",50
