"","species","wgt"
"1212","DM",36
"1213","DM",20
"1214","DS",88
"1215","DM",40
"1216","DS",123
"1217","DS",93
"1218","DM",57
"1219","DM",43
"1220","DS",73
"1221","DS",75
"1222","DS",119
"1223","DS",147
"1224","DO",29
"1225","DS",128
"1226","DO",44
"1227","DS",114
"1228","DO",40
"1229","PP",20
"1230","DS",63
"1231","NA",40
"1232","DS",66
"1233","DS",147
"1234","DS",96
"1235","DM",47
"1236","DS",62
"1237","DS",60
"1238","DS",47
"1239","NA",206
"1240","PP",10
"1241","DS",95
"1242","DS",128
"1243","DS",116
"1244","DS",96
"1245","DS",86
"1246","DS",99
"1247","DS",91
"1248","DM",32
"1249","DS",105
"1250","DM",44
"1251","DM",27
"1252","DS",79
"1253","DS",120
"1254","DM",53
"1255","DS",70
"1256","DM",44
"1257","DM",41
"1258","DM",41
"1259","DS",143
"1260","DO",38
"1261","DM",48
"1262","DS",60
"1263","DS",59
"1264","DS",138
"1265","DO",53
"1266","PF",9
"1267","NA",94
"1268","DS",156
"1269","DS",43
"1270","PF",8
"1271","DS",120
"1272","DS",141
"1273","DS",80
"1274","OT",25
"1275","DS",108
"1276","DM",44
"1277","DS",111
"1278","DM",23
"1279","DS",59
"1280","DS",126
"1281","OL",36
"1282","DM",44
"1283","DS",94
"1284","DS",68
"1285","DM",31
"1286","DS",98
"1287","PP",16
"1288","DM",45
"1289","DS",108
"1290","OT",27
"1291","DM",32
"1292","DS",93
"1293","DM",44
"1294","NA",151
"1295","OT",19
"1296","DS",93
"1297","DS",125
"1298","PE",8
"1299","DS",99
"1300","DS",145
"1301","OT",25
"1302","PF",6
"1303","DS",133
"1304","DO",46
"1305","DO",42
"1306","PF",10
"1307","DS",165
"1308","NA",116
"1309","PF",9
"1310","DM",40
"1311","DS",78
"1312","DS",142
"1313","DM",53
"1314","DS",144
"1315","PP",14
"1316","OT",27
"1317","OT",20
"1318","DM",49
"1319","DS",124
"1320","DS",117
"1321","DS",81
"1322","DS",125
"1323","OT",30
"1324","DS",93
"1325","DS",103
"1326","DM",48
"1327","OL",27
"1328","DM",35
"1329","DM",40
"1330","DS",119
"1331","NA",72
"1332","OT",17
"1333","DM",47
"1334","OT",20
"1335","OL",45
"1336","DS",106
"1337","DS",94
"1338","OL",24
"1339","OL",35
"1340","DM",53
"1341","DS",128
"1342","DM",46
"1343","OT",27
"1344","DM",45
"1345","DS",106
"1346","DO",45
"1347","DS",144
"1348","NA",105
"1349","DS",94
"1350","DO",45
"1351","NA",136
"1352","DS",148
"1353","DS",132
"1354","DS",124
"1355","DM",41
"1356","OT",24
"1357","PP",14
"1358","OT",23
"1359","PF",7
"1360","OT",29
"1361","DM",46
"1362","DM",51
"1363","DM",46
"1364","DS",129
"1365","DS",124
"1366","DS",122
"1367","PP",14
"1368","DM",35
"1369","DS",106
"1370","OL",34
"1371","OT",27
"1372","DM",49
"1373","DM",40
"1374","DS",131
"1375","OT",20
"1376","DM",37
"1377","DM",41
"1378","OT",21
"1379","OL",40
"1380","DS",120
"1381","DM",45
"1382","DM",46
"1383","OL",31
"1384","DM",47
"1385","DS",118
"1386","OT",26
"1387","NA",152
"1388","OT",21
"1389","DM",50
"1390","DS",153
"1391","OT",31
"1392","DS",138
"1393","OT",19
"1394","DM",49
"1395","DS",119
"1396","DM",35
"1397","DM",53
"1398","DM",43
"1399","DM",35
"1400","DM",47
"1401","NA",274
"1402","DS",130
"1403","DS",126
"1404","DM",49
"1405","OT",23
"1406","DO",50
"1407","DO",47
"1408","DS",120
"1409","DO",26
"1410","DM",45
"1411","DS",145
"1412","DM",43
"1413","DS",123
"1414","OT",21
"1415","OT",22
"1416","DS",102
"1417","DS",137
"1418","PP",16
"1419","DM",28
"1420","DM",29
"1421","OT",27
"1422","OT",18
"1423","OT",19
"1424","DO",52
"1425","NA",92
"1426","NA",211
"1427","DM",40
"1428","DM",45
"1429","DS",135
"1430","DM",47
"1431","DS",133
"1432","DM",49
"1433","DM",46
"1434","DS",156
"1435","DS",123
"1436","NA",133
"1437","DO",49
"1438","DS",127
"1439","DS",151
"1440","NA",171
"1441","DS",143
"1442","DS",122
"1443","PE",19
"1444","DM",50
"1445","OT",24
"1446","DM",30
"1447","PM",25
"1448","OL",41
"1449","OL",34
"1450","PF",7
"1451","DM",50
"1452","OL",35
"1453","DM",49
"1454","OL",36
"1455","NA",186
"1456","DM",40
"1457","DM",50
"1458","DS",128
"1459","OT",23
"1460","PE",20
"1461","OL",36
"1462","DO",50
"1463","OL",35
"1464","DM",39
"1465","DO",44
"1466","DM",46
"1467","DS",103
"1468","DS",134
"1469","DM",48
"1470","DM",42
"1471","RM",9
"1472","DM",39
"1473","PP",16
"1474","DM",36
"1475","NA",217
"1476","DS",133
"1477","DM",50
"1478","DM",46
"1479","DM",27
"1480","RM",9
"1481","DM",51
"1482","NA",109
"1483","DS",141
"1484","DM",21
"1485","OT",20
"1486","OT",22
"1487","DM",48
"1488","DS",130
"1489","OT",28
"1490","DO",51
"1491","NA",153
"1492","OT",22
"1493","OL",31
"1494","DS",136
"1495","OL",33
"1496","OL",34
"1497","DM",41
"1498","DS",154
"1499","DM",49
"1500","DS",141
"1501","DS",143
"1502","OT",21
"1503","DS",124
"1504","DM",52
"1505","RM",7
"1506","DM",43
"1507","DM",38
"1508","DM",37
"1509","OL",36
"1510","OL",38
"1511","DO",53
"1512","OL",34
"1513","OT",20
"1514","DM",42
"1515","NA",184
"1516","DS",131
"1517","DM",51
"1518","DM",40
"1519","DS",141
"1520","DM",36
"1521","PF",7
